Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
TORONTO GREENWOOD,ONTARIO,6158575,5078,,,43.67,-79.32,434000000,-791900000,99.1,1966,1981,,,1966.0,1981.0,1966.0,1981.0,346.5812392936668,8.72473284211368,2722.4605127616696
TORONTO HEADLAND (AUT),ONTARIO,6158578,7940,,,43.62,-79.35,433700000,-792100000,87.0,1994,1998,1994.0,1998.0,1994.0,1998.0,,,351.7740027729495,10.530255356048375,2723.1290969949646
TORONTO HIBISCUS COURT,ONTARIO,6158585,5079,,,43.75,-79.58,434500000,-793500000,198.1,1959,1961,,,1959.0,1961.0,1959.0,1961.0,359.08410866450083,14.038105368775728,2699.857585248541
TORONTO HIGHLAND CREEK,ONTARIO,6158598,5080,,,43.78,-79.17,434700000,-791000000,114.3,1955,1972,,,1955.0,1972.0,1955.0,1972.0,329.6786398908118,22.013214933325628,2726.8989302928435
TORONTO HIGH PARK,ONTARIO,6158629,5081,,,43.65,-79.47,433900000,-792800000,106.7,1951,1962,,,1951.0,1962.0,1951.0,1962.0,357.78490803241704,6.864358239762577,2713.0730808583858
TORONTO HUMBER BAY,ONTARIO,6158645,5082,,,43.63,-79.5,433800000,-793000000,83.8,1957,1962,,,1957.0,1962.0,1957.0,1962.0,361.0383823833534,10.105568650225244,2712.082459658258
TORONTO HUMBER SUMMIT,ONTARIO,6158647,5083,,,43.75,-79.55,434500000,-793300000,149.4,1969,1972,,,1969.0,1972.0,1969.0,1972.0,357.0428547356752,11.856818870621321,2701.9564142832114
TORONTO ISLAND,ONTARIO,6158660,5084,,,43.62,-79.4,433700000,-792400000,78.0,1905,1959,,,1905.0,1959.0,1953.0,1959.0,355.05866455615916,9.033665298868762,2719.631498568705
TORONTO ISLAND A,ONTARIO,6158665,5085,71265.0,,43.63,-79.4,433743000,-792342000,76.5,1957,2006,1957.0,2006.0,1957.0,2006.0,1957.0,2006.0,354.4169830401623,7.942927671766964,2719.0772731293605
TORONTO IS A (AUT),ONTARIO,6158666,5086,,,43.63,-79.4,433800000,-792400000,76.5,1973,1994,1994.0,1994.0,1973.0,1973.0,,,354.4169830401623,7.942927671766964,2719.0772731293605
TORONTO CITY CENTRE,ONTARIO,6158667,30247,71265.0,YTZ,43.63,-79.4,433743000,-792342000,76.81,2006,2014,2006.0,2010.0,2006.0,2014.0,2006.0,2006.0,354.4169830401623,7.942927671766964,2719.0772731293605
TORONTO ISLINGTON,ONTARIO,6158691,5087,,,43.65,-79.55,433900000,-793300000,132.6,1951,1975,,,1951.0,1975.0,1951.0,1975.0,363.12421535266833,11.864490040300808,2707.477303055116
TORONTO JANE-WILSON,ONTARIO,6158712,5092,,,43.72,-79.52,434300000,-793100000,129.5,1973,1978,,,1973.0,1978.0,1973.0,1978.0,356.81422546212747,8.360306822690033,2705.708035999934
TORONTO KEELE-FINCH,ONTARIO,6158718,5093,,,43.77,-79.48,434600000,-792900000,199.9,1973,1987,,,1973.0,1987.0,1973.0,1987.0,351.0949205013405,9.157207427631255,2705.753864631261
TORONTO KINGSWAY,ONTARIO,6158722,5094,,,43.65,-79.52,433900000,-793100000,114.3,1951,1961,,,1951.0,1961.0,1951.0,1961.0,361.11812203161116,9.792535195513596,2709.5756629481084
TORONTO LEASIDE S,ONTARIO,6158730,5095,,,43.7,-79.37,434200000,-792200000,137.2,1951,1956,,,1951.0,1956.0,1951.0,1956.0,347.9924096584044,4.030461166617403,2717.3056005690437
TORONTO INTL A,ONTARIO,6158731,51459,71624.0,YYZ,43.68,-79.63,434036000,-793750000,173.4,2013,2019,2013.0,2019.0,2013.0,2019.0,,,366.6706419316853,17.07594743492973,2700.2219286735244
TORONTO LESLIE EGLINTON,ONTARIO,6158732,5096,,,43.72,-79.35,434300000,-792100000,133.3,1985,1987,,,1985.0,1987.0,1985.0,1987.0,345.4088256095802,6.063557777424501,2717.602099050346
TORONTO LESTER B. PEARSON INT'L A,ONTARIO,6158733,5097,71624.0,YYZ,43.68,-79.63,434038000,-793750000,173.4,1937,2013,1953.0,2013.0,1937.0,2013.0,1937.0,2013.0,366.6706419316853,17.07594743492973,2700.2219286735244
