X.Date.Time,Year,Month,Day,Time,Temp...C.,Temp.Flag,Dew.Point.Temp...C.,Dew.Point.Temp.Flag,Rel.Hum....,Rel.Hum.Flag,Wind.Dir..10s.deg.,Wind.Dir.Flag,Wind.Spd..km.h.,Wind.Spd.Flag,Visibility..km.,Visibility.Flag,Stn.Press..kPa.,Stn.Press.Flag,Hmdx,Hmdx.Flag,Wind.Chill,Wind.Chill.Flag,Weather.,X.U.FEFF..Station.Name.,X.Province.
2017-04-01 00:00,2017,4,1,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 01:00,2017,4,1,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 02:00,2017,4,1,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 03:00,2017,4,1,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 04:00,2017,4,1,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 05:00,2017,4,1,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 06:00,2017,4,1,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 07:00,2017,4,1,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 08:00,2017,4,1,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 09:00,2017,4,1,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 10:00,2017,4,1,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 11:00,2017,4,1,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 12:00,2017,4,1,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 13:00,2017,4,1,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 14:00,2017,4,1,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 15:00,2017,4,1,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 16:00,2017,4,1,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 17:00,2017,4,1,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 18:00,2017,4,1,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 19:00,2017,4,1,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 20:00,2017,4,1,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 21:00,2017,4,1,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 22:00,2017,4,1,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-01 23:00,2017,4,1,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 00:00,2017,4,2,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 01:00,2017,4,2,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 02:00,2017,4,2,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 03:00,2017,4,2,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 04:00,2017,4,2,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 05:00,2017,4,2,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 06:00,2017,4,2,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 07:00,2017,4,2,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 08:00,2017,4,2,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 09:00,2017,4,2,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 10:00,2017,4,2,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 11:00,2017,4,2,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 12:00,2017,4,2,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 13:00,2017,4,2,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 14:00,2017,4,2,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 15:00,2017,4,2,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 16:00,2017,4,2,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 17:00,2017,4,2,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 18:00,2017,4,2,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 19:00,2017,4,2,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 20:00,2017,4,2,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 21:00,2017,4,2,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 22:00,2017,4,2,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-02 23:00,2017,4,2,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 00:00,2017,4,3,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 01:00,2017,4,3,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 02:00,2017,4,3,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 03:00,2017,4,3,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 04:00,2017,4,3,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 05:00,2017,4,3,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 06:00,2017,4,3,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 07:00,2017,4,3,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 08:00,2017,4,3,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 09:00,2017,4,3,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 10:00,2017,4,3,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-04-03 11:00,2017,4,3,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
